título,autor,língua,formato,gênero,tipo,temas,sequência,protagonismo,status,ficção?,estrelas,comentário,ano lido,origem,país,ano de publicação,número de páginas
harry potter e a pedra filosofal,JK Rowling,português,brochura,"fantasia, infantil",narrativa,"soft magic, harry potter",saga,masculino,lido,ficção,⭐⭐⭐,,2018,livraria física,Inglaterra,1997,264
percy jackson e o ladrão de raios,"Rick Riordan, Robert Venditti",português,brochura,"fantasia, infantil",hq/manga,"mitologia grega, soft magic, percy jackson",saga,masculino,lido,ficção,⭐⭐⭐,,2018,presente,Estados Unidos,2011,128
percy jackson e o mar de monstros,"Rick Riordan, Robert Venditti",português,brochura,"fantasia, infantil",hq/manga,"mitologia grega, soft magic, percy jackson",saga,masculino,lido,ficção,⭐⭐⭐⭐,,2018,presente,Estados Unidos,2013,128
harry potter e a camara secreta,JK Rowling,português,brochura,"fantasia, infantil",narrativa,"soft magic, harry potter",saga,masculino,lido,ficção,⭐⭐⭐,,2019,livraria física,Inglaterra,1998,288
harry potter e o prosioneiro de azkaban,JK Rowling,português,brochura,"fantasia, infantil",narrativa,"soft magic, harry potter",saga,masculino,lido,ficção,⭐⭐⭐⭐,,2019,livraria física,Inglaterra,1999,348
a prisão do rei,Victoria Aveyard,português,ebook,"distopia, sci fi, fantasia, jovem adulto",narrativa,"soft magic, monarquia, poderes, red queen",saga,feminino,lido,ficção,⭐⭐⭐⭐,"penso mensalmente na cena da mare, eve e iris no corredor falando mal do maven e do nada esse dêmonio aparecendo na assossiação de noivas dele",2020,pirateado,Estados Unidos,2017,544
a rainha vermelha,Victoria Aveyard,português,brochura,"distopia, sci fi, fantasia, jovem adulto",narrativa,"soft magic, monarquia, poderes, red queen",saga,feminino,lido,ficção,⭐⭐⭐,capítulo 26 💀,2020,sebo,Estados Unidos,2015,424
corte de espinhos e rosas,Sarah J. Mass,português,ebook,"fantasia, jovem adulto, romance",narrativa,"soft magic, monarquia, fadas",saga,feminino,abandonado,ficção,⭐,o povo do ar mata,2020,pirateado,Estados Unidos,2015,448
espada de vidro,Victoria Aveyard,português,ebook,"distopia, sci fi, fantasia, jovem adulto",narrativa,"soft magic, monarquia, poderes, red queen",saga,feminino,lido,ficção,⭐⭐⭐⭐,"todo mundo te odeia mare de espada de vidro, mas eu te amo porque sou a única que te entendeu",2020,pirateado,Estados Unidos,2016,496
mentirosos,E. Lockhart,português,brochura,"suspense, jovem adulto",narrativa,,único,feminino,lido,ficção,⭐⭐⭐,,2020,livraria física,Estados Unidos,2014,272
sua alteza real,Rachel Hawkins,português,ebook,"romance, comédia, jovem adulto",narrativa,"lgbt, sáfico, colegial, sunshine x grumpy, enemies to lovers, monarquia, high profile, royals",série,feminino,lido,ficção,⭐⭐⭐,,2020,pirateado,Estados Unidos,2019,304
trono destruído,Victoria Aveyard,português,brochura,"distopia, fantasia, sci fi, jovem adulto",contos,"soft magic, monarquia, poderes, red queen",extra,duplo,lido,ficção,⭐⭐⭐⭐,"evangeline e elaine injustiçadas, o potêncial de um spin off romantico delas",2020,livraria física,Estados Unidos,2019,504
war storm,Victoria Aveyard,inglês,brochura,"distopia, sci fi, fantasia, jovem adulto",narrativa,"soft magic, monarquia, poderes, red queen",saga,feminino,lido,ficção,⭐⭐⭐⭐⭐,EVANGELINE EU LI QUATRO LIVROS POR VOCÊ E SOMENTE VOCê E VOCÊ NÃO ME DECEPCIONOU EU TE AMO TANTO VOCÊ JAMAIS ENTENDERIA A IMENSIDÇÃO DOS MEUS SENTIMENTOS POR VOCÊ,2020,presente,Estados Unidos,2018,672
a rainha do nada,Holly Black,português,brochura,"fantasia, jovem adulto",narrativa,"fadas, soft magic, povo do ar",trilogia,feminino,lido,ficção,⭐⭐⭐⭐⭐,taryn se redimiu aqui quando matou aquele maluco,2021,livraria online,Estados Unidos,2019,294
conectadas,Clara Alves,português,brochura,"jovem adulto, romance",narrativa,"lgbt, sáfico, webnamoro, cosplays",único,feminino,lido,ficção,⭐⭐⭐,,2021,presente,Brasil,2019,320
delírio,Lauren Oliver,português,ebook,"distopia, sci fi, jovem adulto, romance",narrativa,delírio,trilogia,feminino,lido,ficção,⭐⭐,"não lembro = não gostei, next",2021,pirateado,Estados Unidos,2011,352
girls of paper and fire,Natasha Ngan,inglês,ebook,"fantasia, romance, jovem adulto",narrativa,"lgbt, sáfico, furry?",trilogia,feminino,lido,ficção,⭐⭐⭐,"não sei como eu cheguei no fim, mas eu cheguei e preferia não ter chegado",2021,pirateado,Inglaterra,2019,400
o príncipe cruel,Holly Black,português,brochura,"fantasia, jovem adulto",narrativa,"fadas, soft magic, povo do ar",trilogia,feminino,lido,ficção,⭐⭐⭐⭐,"início chato, mas o final é uma delícia",2021,livraria física,Estados Unidos,2018,322
o rei perverso,Holly Black,português,brochura,"fantasia, jovem adulto",narrativa,"fadas, soft magic, povo do ar",trilogia,feminino,lido,ficção,⭐⭐⭐,ódio de você cardan,2021,livraria online,Estados Unidos,2019,308
objetos cortantes,Gillian Flynn,português,brochura,"suspense, drama",narrativa,,único,feminino,lido,ficção,⭐⭐⭐,,2021,presente,Estados Unidos,2006,256
one last stop,Casey McQuiston,inglês,ebook,"jovem adulto, romance, sci fi",narrativa,"lgbt, sáfico, viagem no tempo, homofobia",único,feminino,lido,ficção,⭐⭐⭐⭐,"não é pra mim, mas não é ruim !",2021,pirateado,Estados Unidos,2021,432
os sete maridos de evelyn hugo,Taylor Jenkins Reid,português,ebook,"jovem adulto, drama",narrativa,"lgbt, sáfico",único,feminino,lido,ficção,⭐⭐⭐⭐⭐,preciso tatuar na minha pele ,2021,pirateado,Estados Unidos,2017,360
she drives me crazy,Kelly Quindlen,inglês,ebook,"jovem adulto, romance",narrativa,"lgbt, sáfico, colegial, enemies to lovers",único,feminino,lido,ficção,⭐⭐⭐,,2021,pirateado,Estados Unidos,2021,304
a lesson in vengence,Victoria Lee,inglês,ebook,"jovem adulto, fantasia",narrativa,"lgbt, sáfico, enemies to lovers, dark academia, gótico, colegial, esoterismo",único,feminino,lido,ficção,⭐⭐⭐,"dark academia on point, o resto...",2022,pirateado,Estados Unidos,2021,369
a maldição do mar,Shea Ernshaw,português,brochura,"fantasia, romance, jovem adulto",narrativa,,duologia,feminino,lido,ficção,⭐⭐⭐⭐,descobri o plot inteiro no início,2022,presente,Estados Unidos,2001,320
a senhora da magia,Marion Zimmer Bradley,português,brochura,"ficção histórica, fantasia",narrativa,"mitologia cristã, esoterismo, as brumas de avalon",saga,feminino,lido,ficção,⭐⭐⭐,chatinho no início mas a cena do incesto e eles drogados foi o limite pra mim,2022,sebo,Estados Unidos,1983,280
